ball	function	reason
D10	IO_L4N_AD12N_50	not used in minimal system; no external interface
D11	IO_L4P_AD12P_50	not used in minimal system; no external interface
G11	IO_L5N_HDGC_50	not used in minimal system; no external interface
H11	IO_L5P_HDGC_50	not used in minimal system; no external interface
F11	IO_L6N_HDGC_50	not used in minimal system; no external interface
F12	IO_L6P_HDGC_50	not used in minimal system; no external interface
H12	IO_L7N_HDGC_50	not used in minimal system; no external interface
J12	IO_L7P_HDGC_50	not used in minimal system; no external interface
G13	IO_L8N_HDGC_50	not used in minimal system; no external interface
H13	IO_L8P_HDGC_50	not used in minimal system; no external interface
G14	IO_L9N_AD11N_50	not used in minimal system; no external interface
G15	IO_L9P_AD11P_50	not used in minimal system; no external interface
H14	IO_L10N_AD10N_50	not used in minimal system; no external interface
J14	IO_L10P_AD10P_50	not used in minimal system; no external interface
G16	IO_L11N_AD9N_50	not used in minimal system; no external interface
H16	IO_L11P_AD9P_50	not used in minimal system; no external interface
J15	IO_L12N_AD8N_50	not used in minimal system; no external interface
J16	IO_L12P_AD8P_50	not used in minimal system; no external interface
AL11	IO_L2P_T0L_N2_64	not used in minimal system; no external interface
AP4	IO_L15N_T2L_N5_AD11N_64	not used in minimal system; no external interface
AP5	IO_L15P_T2L_N4_AD11P_64	not used in minimal system; no external interface
AP6	IO_L16N_T2U_N7_QBC_AD3N_64	not used in minimal system; no external interface
AN6	IO_L16P_T2U_N6_QBC_AD3P_64	not used in minimal system; no external interface
AN4	IO_L17N_T2U_N9_AD10N_64	not used in minimal system; no external interface
AM4	IO_L17P_T2U_N8_AD10P_64	not used in minimal system; no external interface
AK4	IO_L18N_T2U_N11_AD2N_64	not used in minimal system; no external interface
AK5	IO_L18P_T2U_N10_AD2P_64	not used in minimal system; no external interface
AP2	IO_L19N_T3L_N1_DBC_AD9N_64	not used in minimal system; no external interface
AN2	IO_L19P_T3L_N0_DBC_AD9P_64	not used in minimal system; no external interface
AP3	IO_L20N_T3L_N3_AD1N_64	not used in minimal system; no external interface
AN3	IO_L20P_T3L_N2_AD1P_64	not used in minimal system; no external interface
AN1	IO_L21N_T3L_N5_AD8N_64	not used in minimal system; no external interface
AM1	IO_L21P_T3L_N4_AD8P_64	not used in minimal system; no external interface
AL2	IO_L22N_T3U_N7_DBC_AD0N_64	not used in minimal system; no external interface
AL3	IO_L22P_T3U_N6_DBC_AD0P_64	not used in minimal system; no external interface
AL1	IO_L23N_T3U_N9_64	not used in minimal system; no external interface
AK1	IO_L23P_T3U_N8_64	not used in minimal system; no external interface
AK2	IO_L24N_T3U_N11_64	not used in minimal system; no external interface
AK3	IO_L24P_T3U_N10_64	not used in minimal system; no external interface
AH9	IO_T1U_N12_65	not used in minimal system; no external interface
AG1	IO_T3U_N12_65	not used in minimal system; no external interface
AF10	IO_L1N_T0L_N1_DBC_65	not used in minimal system; no external interface
AH6	IO_L7N_T1L_N1_QBC_AD13N_65	not used in minimal system; no external interface
AF5	IO_L13N_T2L_N1_GC_QBC_65	not used in minimal system; no external interface
AJ2	IO_L19N_T3L_N1_DBC_AD9N_65	not used in minimal system; no external interface
W9	IO_T0U_N12_VRP_66	not used in minimal system; no external interface
AA8	IO_T1U_N12_66	not used in minimal system; no external interface
AA3	IO_T2U_N12_66	not used in minimal system; no external interface
