ball	pin_func	bank
AL6	IO_L13P_T2L_N0_GC_QBC_64	64
AM5	IO_L14N_T2L_N3_GC_64	64
AM6	IO_L14P_T2L_N2_GC_64	64
AP4	IO_L15N_T2L_N5_AD11N_64	64
AP5	IO_L15P_T2L_N4_AD11P_64	64
AP6	IO_L16N_T2U_N7_QBC_AD3N_64	64
AN6	IO_L16P_T2U_N6_QBC_AD3P_64	64
AN4	IO_L17N_T2U_N9_AD10N_64	64
AM4	IO_L17P_T2U_N8_AD10P_64	64
AK4	IO_L18N_T2U_N11_AD2N_64	64
AK5	IO_L18P_T2U_N10_AD2P_64	64
AP2	IO_L19N_T3L_N1_DBC_AD9N_64	64
AN2	IO_L19P_T3L_N0_DBC_AD9P_64	64
AP3	IO_L20N_T3L_N3_AD1N_64	64
AN3	IO_L20P_T3L_N2_AD1P_64	64
AN1	IO_L21N_T3L_N5_AD8N_64	64
AM1	IO_L21P_T3L_N4_AD8P_64	64
AL2	IO_L22N_T3U_N7_DBC_AD0N_64	64
AL3	IO_L22P_T3U_N6_DBC_AD0P_64	64
AL1	IO_L23N_T3U_N9_64	64
AK1	IO_L23P_T3U_N8_64	64
AK2	IO_L24N_T3U_N11_64	64
AK3	IO_L24P_T3U_N10_64	64
AD9	IO_T0U_N12_VRP_65	65
AH9	IO_T1U_N12_65	65
AD5	IO_T2U_N12_65	65
AG1	IO_T3U_N12_65	65
AF10	IO_L1N_T0L_N1_DBC_65	65
AE10	IO_L1P_T0L_N0_DBC_65	65
AH11	IO_L2N_T0L_N3_65	65
AH12	IO_L2P_T0L_N2_65	65
AF12	IO_L3N_T0L_N5_AD15N_65	65
AE12	IO_L3P_T0L_N4_AD15P_65	65
AG11	IO_L4N_T0U_N7_DBC_AD7N_65	65
AF11	IO_L4P_T0U_N6_DBC_AD7P_SMBALERT_65	65
AG9	IO_L5N_T0U_N9_AD14N_65	65
AG10	IO_L5P_T0U_N8_AD14P_65	65
AE9	IO_L6N_T0U_N11_AD6N_65	65
AD10	IO_L6P_T0U_N10_AD6P_65	65
AH6	IO_L7N_T1L_N1_QBC_AD13N_65	65
AH7	IO_L7P_T1L_N0_QBC_AD13P_65	65
AH8	IO_L8N_T1L_N3_AD5N_65	65
AG8	IO_L8P_T1L_N2_AD5P_65	65
AD6	IO_L9N_T1L_N5_AD12N_65	65
AD7	IO_L9P_T1L_N4_AD12P_65	65
AF8	IO_L10N_T1U_N7_QBC_AD4N_65	65
AE8	IO_L10P_T1U_N6_QBC_AD4P_65	65
AG6	IO_L11N_T1U_N9_GC_65	65
AF6	IO_L11P_T1U_N8_GC_65	65
AF7	IO_L12N_T1U_N11_GC_65	65
AE7	IO_L12P_T1U_N10_GC_65	65
AF5	IO_L13N_T2L_N1_GC_QBC_65	65
AE5	IO_L13P_T2L_N0_GC_QBC_65	65
AG4	IO_L14N_T2L_N3_GC_65	65
AG5	IO_L14P_T2L_N2_GC_65	65
AJ4	IO_L15N_T2L_N5_AD11N_65	65
AH4	IO_L15P_T2L_N4_AD11P_65	65
AJ5	IO_L16N_T2U_N7_QBC_AD3N_65	65
AJ6	IO_L16P_T2U_N6_QBC_AD3P_65	65
AF3	IO_L17N_T2U_N9_AD10N_65	65
AE3	IO_L17P_T2U_N8_AD10P_65	65
AE4	IO_L18N_T2U_N11_AD2N_65	65
AD4	IO_L18P_T2U_N10_AD2P_65	65
AJ2	IO_L19N_T3L_N1_DBC_AD9N_65	65
AH2	IO_L19P_T3L_N0_DBC_AD9P_65	65
AH3	IO_L20N_T3L_N3_AD1N_65	65
AG3	IO_L20P_T3L_N2_AD1P_65	65
AF1	IO_L21N_T3L_N5_AD8N_65	65
AF2	IO_L21P_T3L_N4_AD8P_65	65
AJ1	IO_L22N_T3U_N7_DBC_AD0N_65	65
AH1	IO_L22P_T3U_N6_DBC_AD0P_65	65
AD1	IO_L23N_T3U_N9_65	65
AD2	IO_L23P_T3U_N8_I2C_SCLK_65	65
AE1	IO_L24N_T3U_N11_PERSTN0_65	65
AE2	IO_L24P_T3U_N10_PERSTN1_I2C_SDA_65	65
W9	IO_T0U_N12_VRP_66	66
AA8	IO_T1U_N12_66	66
AA3	IO_T2U_N12_66	66
AB1	IO_T3U_N12_66	66
AC11	IO_L1N_T0L_N1_DBC_66	66
AC12	IO_L1P_T0L_N0_DBC_66	66
AB10	IO_L2N_T0L_N3_66	66
AB11	IO_L2P_T0L_N2_66	66
AA10	IO_L3N_T0L_N5_AD15N_66	66
AA11	IO_L3P_T0L_N4_AD15P_66	66
AC9	IO_L4N_T0U_N7_DBC_AD7N_66	66
AB9	IO_L4P_T0U_N6_DBC_AD7P_66	66
AA12	IO_L5N_T0U_N9_AD14N_66	66
Y12	IO_L5P_T0U_N8_AD14P_66	66
Y9	IO_L6N_T0U_N11_AD6N_66	66
Y10	IO_L6P_T0U_N10_AD6P_66	66
AC6	IO_L7N_T1L_N1_QBC_AD13N_66	66
AC7	IO_L7P_T1L_N0_QBC_AD13P_66	66
AC8	IO_L8N_T1L_N3_AD5N_66	66
AB8	IO_L8P_T1L_N2_AD5P_66	66
W6	IO_L9N_T1L_N5_AD12N_66	66
W7	IO_L9P_T1L_N4_AD12P_66	66
AB5	IO_L10N_T1U_N7_QBC_AD4N_66	66
AB6	IO_L10P_T1U_N6_QBC_AD4P_66	66
Y7	IO_L11N_T1U_N9_GC_66	66
Y8	IO_L11P_T1U_N8_GC_66	66
AA6	IO_L12N_T1U_N11_GC_66	66
AA7	IO_L12P_T1U_N10_GC_66	66
Y3	IO_L13N_T2L_N1_GC_QBC_66	66
Y4	IO_L13P_T2L_N0_GC_QBC_66	66
