ball	pin_func	bank
AE32	PS_DDR_DQS_P7_504	504
AN32	PS_DDR_DQS_P8_504	504
AM30	PS_DDR_ODT0_504	504
AJ26	PS_DDR_ODT1_504	504
AF20	PS_DDR_PARITY_504	504
AF21	PS_DDR_RAM_RST_N_504	504
AF23	PS_DDR_ZQ_504	504
AA28	PS_MGTREFCLK0N_505	505
AA27	PS_MGTREFCLK0P_505	505
AB28	PS_MGTRREF_505	505
AB34	PS_MGTRRXN0_505	505
AB33	PS_MGTRRXP0_505	505
AB30	PS_MGTRTXN0_505	505
AB29	PS_MGTRTXP0_505	505
W28	PS_MGTREFCLK1N_505	505
W27	PS_MGTREFCLK1P_505	505
AA32	PS_MGTRRXN1_505	505
AA31	PS_MGTRRXP1_505	505
Y30	PS_MGTRTXN1_505	505
Y29	PS_MGTRTXP1_505	505
U28	PS_MGTREFCLK2N_505	505
U27	PS_MGTREFCLK2P_505	505
Y34	PS_MGTRRXN2_505	505
Y33	PS_MGTRRXP2_505	505
W32	PS_MGTRTXN2_505	505
W31	PS_MGTRTXP2_505	505
U32	PS_MGTREFCLK3N_505	505
U31	PS_MGTREFCLK3P_505	505
V34	PS_MGTRRXN3_505	505
V33	PS_MGTRRXP3_505	505
V30	PS_MGTRTXN3_505	505
V29	PS_MGTRTXP3_505	505
A1	GND	
A10	MGTAVCC_R	
A11	GND	
A14	GND	
A19	GND	
A2	GND	
A24	GND	
A28	GND	
A29	MGTRREF_L	128
A30	MGTAVTTRCAL_L	128
A33	GND	
A34	GND	
A5	MGTAVTTRCAL_R	228
A6	MGTRREF_R	228
A9	GND	
AA13	VCCINT_IO	
AA14	GND	
AA15	VCCINT	
AA16	GND	
AA17	VCCINT	
AA18	GND	
AA19	VCCINT	
AA20	GND	
AA21	VCC_PSINTLP	
AA22	VCC_PSBATT	
AA23	VCC_PSAUX	
AA24	GND	
AA25	VCC_PSAUX	
AA26	GND	
AA29	PS_MGTRAVCC	
AA30	GND	
AA33	GND	
AA34	GND	
AA4	GND	
AA9	VCCO_66	66
AB12	GND	
AB13	VCCINT_IO	
AB14	VCCBRAM	
AB15	GND	
AB16	VCCINT	
AB17	GND	
AB18	VCCINT	
AB19	GND	
AB2	GND	
AB20	VCCINT	
AB21	VCC_PSINTLP	
AB22	GND	
AB23	VCC_PSINTLP	
AB24	GND_PSADC	
AB25	VCC_PSADC	
AB26	GND	
AB27	GND	
AB31	GND	
AB32	PS_MGTRAVTT	
AB7	GND	
AC10	GND	
AC13	VCCINT_IO	
AC14	VCCBRAM	
AC15	VCCINT	
AC16	GND	
AC17	VCCINT	
AC18	GND	
AC19	VCCINT	
AC20	GND	
AC21	VCC_PSINTLP	
AC22	VCC_PSINTLP	
AC23	VCC_PSINTLP	
AC24	VCC_PSINTFP	
AC25	GND_PSADC	
AC26	VCC_PSADC	
AC27	GND	
AC28	GND	
AC29	GND	
AC30	GND	
AC31	GND	
AC32	GND	
AC33	GND	
AC34	GND	
AC5	GND	
AD11	VREF_65	65
AD12	VREF_66	66
AD13	GND	
AD14	POR_OVERRIDE	0
AD15	PUDC_B	0
AD21	VCC_PSINTFP	
AD22	VCC_PSINTFP	
AD23	GND	
AD24	VCC_PSINTFP_DDR	
AD25	VCC_PSINTFP	
AD26	VCC_PSINTFP	
AD3	GND	
AD8	VCCO_65	65
AE11	GND	
AE16	VCCO_PSIO0_500	500
AE21	GND	
AE22	VCC_PSINTFP	
AE23	VCC_PSINTFP	
AE24	VCC_PSINTFP_DDR	
AE25	VCC_PSINTFP_DDR	
AE26	GND	
AE31	GND	
AE6	GND	
AF14	VCCO_44	44
AF19	GND	
AF24	GND	
AF26	NC	
AF27	NC	
AF29	GND	
AF34	GND	
AF4	GND	
AF9	VCCO_65	65
AG12	GND	
AG17	VCCO_PSIO0_500	500
AG2	GND	
AG22	GND	
AG27	VCCO_PSDDR_504	504
AG32	GND	
AG7	VCCO_65	65
AH10	GND	
AH15	GND	
AH20	GND	
AH25	GND	
AH30	GND	
AH5	GND	
AJ11	VREF_64	64
AJ13	VCCO_44	44
AJ18	GND	
AJ23	GND	
AJ24	VCCO_PSDDR_504	504
AJ28	VCCO_PSDDR_504	504
AJ3	GND	
AJ33	GND	
AJ8	VCCO_64	64
AK11	VCCO_64	64
AK16	VCCO_PSIO0_500	500
AK21	GND	
AK26	GND	
AK31	GND	
AK6	GND	
AL14	GND	
AL19	GND	
AL24	VCCO_PSDDR_504	504
AL29	VCCO_PSDDR_504	504
AL34	GND	
AL4	GND	
AL9	VCCO_64	64
AM12	GND	
AM17	GND	
AM2	GND	
AM22	GND	
AM27	GND	
AM32	GND	
AM7	GND	
AN10	GND	
AN15	GND	
AN20	GND	
AN25	VCCO_PSDDR_504	504
AN30	VCCO_PSDDR_504	504
AN5	GND	
AP13	GND	
AP23	GND	
AP28	GND	
AP34	GND	
B11	GND	
B17	GND	
B22	GND	
B28	GND	
B3	MGTAVTT_R	
B31	MGTAVTT_L	
B32	GND	
B4	GND	
B7	GND	
B8	MGTAVCC_R	
C1	GND	
C10	GND	
C11	GND	
C15	GND	
C2	GND	
C20	GND	
C25	GND	
C28	GND	
C29	MGTAVTT_L	
C30	GND	
C33	GND	
C34	GND	
C5	GND	
C6	MGTAVCC_R	
C9	GND	
D13	GND	
D18	GND	
D23	VCCO_PSIO2_502	502
D26	GND	
D27	GND	
D28	GND	
D3	GND	
D31	GND	
D32	MGTAVTT_L	
D4	MGTAVTT_R	
D7	MGTAVCC_R	
D8	GND	
D9	GND	
E1	GND	
E11	GND	
E16	VCCO_49	49
E2	GND	
E21	VCCO_47	47
E26	GND	
E29	GND	
E30	MGTAVTT_L	
E33	GND	
E34	GND	
E5	MGTAVCC_R	
E6	GND	
E9	GND	
F14	VCCO_49	49
F19	GND	
F24	VCCO_PSIO2_502	502
F26	GND	
F27	GND	
F28	MGTAVCC_L	
F3	MGTAVTT_R	
F31	MGTAVTT_L	
F32	GND	
F4	GND	
F7	GND	
F8	MGTVCCAUX_R	
F9	GND	
G1	GND	
G12	VCCO_50	50
G17	VCCO_48	48
G2	GND	
G22	VCCO_PSIO2_502	502
G26	GND	
G29	MGTAVCC_L	
G30	GND	
G33	GND	
G34	GND	
G5	GND	
G6	MGTAVCC_R	
G9	GND	
H15	GND	
H20	VCCO_47	47
H26	GND	
H27	MGTAVCC_L	
H28	GND	
H3	GND	
H31	GND	
H32	MGTAVTT_L	
H4	MGTAVTT_R	
H7	MGTVCCAUX_R	
H8	GND	
H9	GND	
J1	GND	
J13	VCCO_50	50
J18	VCCO_48	48
J2	GND	
J23	GND	
J26	GND	
J29	GND	
J30	MGTAVTT_L	
J33	GND	
J34	GND	
J5	MGTAVTT_R	
J6	GND	
J9	GND	
K11	GND	
K21	GND	
K26	GND	
K27	GND	
K28	MGTVCCAUX_L	
K3	MGTAVTT_R	
K31	MGTAVTT_L	
K32	GND	
K4	GND	
K7	GND	
K8	MGTAVCC_R	
K9	GND	
L1	GND	
L14	GND	
L2	GND	
L24	VCCO_PSIO1_501	501
L26	GND	
L29	MGTAVCC_L	
L30	GND	
L33	GND	
L34	GND	
L5	GND	
L6	MGTAVTT_R	
L9	GND	
M12	GND	
M16	VCCINT	
M17	GND	
M18	VCCINT	
M19	GND	
M20	VCCINT	
M22	VCCO_PSIO1_501	501
M26	GND	
M27	MGTVCCAUX_L	
M28	GND	
M3	GND	
M31	GND	
M32	MGTAVTT_L	
M4	MGTAVTT_R	
M7	GND	
M8	GND	
M9	GND	
N1	GND	
N10	GND	
N14	VREF_67	67
N15	VCCINT	
N16	GND	
N17	VCCINT	
N18	GND	
N19	VCCINT	
N2	GND	
N20	GND	
N26	GND	
N29	GND	
N30	MGTAVTT_L	
N33	GND	
N34	GND	
N5	MGTAVTT_R	
N6	GND	
N7	GND	
P13	GND	
P14	VCCINT	
P15	GND	
P16	VCCINT	
P17	GND	
P18	VCCINT	
P19	GND	
P20	VCCINT	
P23	GND	
P26	GND	
P27	GND	
P28	MGTAVCC_L	
P3	MGTAVTT_R	
P31	MGTAVTT_L	
P32	GND	
P4	GND	
P7	GND	
P8	VCCO_67	67
R1	GND	
R11	GND	
R14	GND	
R15	VCCINT	
R16	GND	
R17	VCCINT	
R18	GND	
R19	VCCINT	
R2	GND	
R20	GND	
R26	GND	
R29	MGTAVCC_L	
R30	GND	
R33	GND	
R34	GND	
R5	GND	
R6	GND	
R7	GND	
T14	VCCAUX	
T15	GND	
T16	VCCINT	
T17	GNDADC	0
T18	VCCADC	0
T19	GND	
T20	VCCINT	
T24	VCCO_PSIO3_503	503
T26	GND	
T27	GND	
T28	GND	
T3	GND	
T31	GND	
T32	GND	
T4	GND	
T5	GND	
T9	VCCO_67	67
U1	GND	
U12	GND	
U13	VCCAUX_IO	
U14	VCCAUX	
U15	VCCINT	
U16	GND	
U17	VREFN	0
U19	VCCINT	
U2	GND	
U20	GND	
U22	VCCO_PSIO3_503	503
U26	GND	
U29	GND	
U3	GND	
U30	GND	
U33	GND	
U34	GND	
U7	VCCO_67	67
V10	GND	
V13	VCCAUX_IO	
V14	VCCAUX_IO	
V15	GND	
V16	VCCINT	
V18	VREFP	0
V19	GND	
V20	VCCINT	
V25	GND	
V26	GND	
V27	GND	
V28	PS_MGTRAVCC	
V31	GND	
V32	PS_MGTRAVTT	
V5	GND	
W13	GND	
W14	VCCBRAM	
W15	VCCINT	
W16	GND	
W17	DXN	0
W18	DXP	0
W19	VCCINT	
W20	GND	
W22	VCC_PSPLL	
W23	GND	
W24	VCC_PSPLL	
W25	VCC_PSPLL	
W26	GND	
W29	GND	
W3	GND	
W30	PS_MGTRAVCC	
W33	GND	
W34	GND	
W8	VCCO_66	66
Y11	VCCO_66	66
Y13	VCCINT_IO	
Y14	VCCBRAM	
Y15	GND	
Y16	VCCINT	
Y17	GND	
Y18	VCCINT	
Y19	GND	
Y20	VCCINT	
Y21	GND	
Y22	VCC_PSAUX	
Y23	VCC_PSAUX	
Y24	VCC_PSDDR_PLL	
Y25	VCC_PSDDR_PLL	
Y26	GND	
Y27	PS_MGTRAVCC	
Y28	GND	
Y31	PS_MGTRAVTT	
Y32	GND	
Y6	GND	
